,0,1,2,3,4,5,6,7,8
78601,2016/6/29,0:0:1,4.0,0.0,0.05,41.11,33.0,33.0,30
78602,2016/6/29,0:0:7,4.0,0.0,0.04,72.66,33.0,33.0,30
78603,2016/6/29,0:0:13,4.0,0.0,0.04,77.64,33.0,33.0,30
78604,2016/6/29,0:0:19,4.0,0.0,0.05,74.32,33.0,33.0,30
78605,2016/6/29,0:0:25,4.0,0.0,0.04,55.22,33.0,33.0,30
78606,2016/6/29,0:0:32,4.0,0.0,0.04,62.7,33.0,33.0,30
78607,2016/6/29,0:0:38,4.0,0.0,0.05,53.56,33.0,33.0,30
78608,2016/6/29,0:0:44,4.0,0.0,0.04,64.36,33.0,33.0,30
78609,2016/6/29,0:0:50,4.0,0.0,0.04,58.54,33.0,33.0,30
78610,2016/6/29,0:0:56,4.0,0.0,0.04,55.22,33.0,33.0,30
78611,2016/6/29,0:1:2,4.0,0.0,0.05,52.73,33.0,33.0,30
78612,2016/6/29,0:1:8,4.0,0.0,0.04,57.71,33.0,33.0,30
78613,2016/6/29,0:1:14,4.0,0.0,0.05,59.37,33.0,33.0,30
78614,2016/6/29,0:1:20,4.0,0.0,0.05,55.22,33.0,33.0,30
78615,2016/6/29,0:1:26,4.0,0.0,0.05,61.87,33.0,33.0,30
78616,2016/6/29,0:1:32,4.0,0.0,0.05,47.75,33.0,33.0,30
78617,2016/6/29,0:1:38,4.0,0.0,0.05,47.75,33.0,33.0,30
78618,2016/6/29,0:1:44,4.0,0.0,0.05,37.79,33.0,33.0,30
78619,2016/6/29,0:1:50,4.0,0.0,0.05,62.7,33.0,33.0,30
78620,2016/6/29,0:1:57,4.0,0.0,0.05,65.19,33.0,33.0,30
78621,2016/6/29,0:2:3,4.0,0.0,0.04,51.9,34.0,33.0,30
78622,2016/6/29,0:2:9,4.0,0.0,0.05,57.71,33.0,33.0,30
78623,2016/6/29,0:2:15,4.0,0.0,0.04,51.07,34.0,33.0,30
78624,2016/6/29,0:2:21,4.0,0.0,0.05,59.37,34.0,33.0,30
78625,2016/6/29,0:2:27,4.0,0.0,0.04,61.04,33.0,33.0,30
78626,2016/6/29,0:2:33,4.0,0.0,0.05,50.24,34.0,33.0,30
78627,2016/6/29,0:2:39,4.0,0.0,0.05,42.77,34.0,33.0,30
78628,2016/6/29,0:2:45,4.0,0.0,0.04,56.88,34.0,33.0,30
78629,2016/6/29,0:2:51,4.0,0.0,0.04,56.88,33.0,33.0,30
78630,2016/6/29,0:2:57,4.0,0.0,0.04,60.21,34.0,33.0,30
78631,2016/6/29,0:3:3,4.0,0.0,0.04,60.21,34.0,33.0,30
78632,2016/6/29,0:3:9,4.0,0.0,0.05,35.3,34.0,33.0,30
78633,2016/6/29,0:3:15,4.0,0.0,0.04,41.11,34.0,33.0,30
78634,2016/6/29,0:3:22,4.0,0.0,0.05,56.05,34.0,33.0,30
78635,2016/6/29,0:3:28,4.0,0.0,0.04,30.32,34.0,33.0,30
78636,2016/6/29,0:3:34,4.0,0.0,0.04,49.41,34.0,33.0,30
78637,2016/6/29,0:3:40,4.0,0.0,0.05,44.43,34.0,33.0,30
78638,2016/6/29,0:3:46,4.0,0.0,0.04,54.39,34.0,33.0,30
78639,2016/6/29,0:3:52,4.0,0.0,0.04,50.24,34.0,33.0,30
78640,2016/6/29,0:3:58,4.0,0.0,0.05,40.28,34.0,33.0,30
78641,2016/6/29,0:4:4,4.0,0.0,0.05,61.04,34.0,33.0,30
78642,2016/6/29,0:4:10,4.0,0.0,0.05,55.22,34.0,33.0,30
78643,2016/6/29,0:4:16,4.0,0.0,0.04,46.09,34.0,33.0,30
78644,2016/6/29,0:4:22,4.0,0.0,0.04,59.37,34.0,33.0,30
78645,2016/6/29,0:4:28,4.0,0.0,0.04,52.73,34.0,33.0,30
78646,2016/6/29,0:4:34,4.0,0.0,0.04,36.96,34.0,33.0,30
78647,2016/6/29,0:4:40,4.0,0.0,0.04,62.7,34.0,33.0,30
78648,2016/6/29,0:4:47,4.0,0.0,0.05,47.75,34.0,33.0,30
78649,2016/6/29,0:4:53,4.0,0.0,0.05,54.39,34.0,33.0,30
78650,2016/6/29,0:4:59,4.0,0.0,0.04,69.34,34.0,33.0,30
78651,2016/6/29,0:5:5,4.0,0.0,0.04,37.79,34.0,33.0,30
78652,2016/6/29,0:5:11,4.0,0.0,0.04,46.09,34.0,33.0,30
78653,2016/6/29,0:5:17,4.0,0.0,0.04,52.73,34.0,33.0,30
78654,2016/6/29,0:5:23,4.0,0.0,0.04,72.66,34.0,33.0,30
78655,2016/6/29,0:5:29,4.0,0.0,0.04,43.6,34.0,33.0,30
78656,2016/6/29,0:5:35,4.0,0.0,0.05,49.41,34.0,33.0,30
78657,2016/6/29,0:5:41,4.0,0.0,0.05,46.92,34.0,33.0,30
78658,2016/6/29,0:5:47,4.0,0.0,0.05,44.43,34.0,33.0,30
78659,2016/6/29,0:5:53,4.0,0.0,0.04,64.36,34.0,33.0,30
78660,2016/6/29,0:5:59,4.0,0.0,0.05,44.43,34.0,33.0,30
78661,2016/6/29,0:6:6,4.0,0.0,0.04,56.88,34.0,33.0,30
78662,2016/6/29,0:6:12,4.0,0.0,0.04,47.75,34.0,33.0,30
78663,2016/6/29,0:6:18,4.0,0.0,0.04,49.41,34.0,33.0,30
78664,2016/6/29,0:6:24,4.0,0.0,0.04,42.77,34.0,33.0,30
78665,2016/6/29,0:6:30,4.0,0.0,0.04,66.85,34.0,33.0,30
78666,2016/6/29,0:6:36,4.0,0.0,0.04,50.24,35.0,33.0,30
78667,2016/6/29,0:6:42,4.0,0.0,0.04,46.92,35.0,33.0,30
78668,2016/6/29,0:6:48,4.0,0.0,0.04,73.49,35.0,33.0,30
78669,2016/6/29,0:6:54,4.0,0.0,0.04,56.05,35.0,33.0,30
78670,2016/6/29,0:7:0,4.0,0.0,0.04,56.05,35.0,33.0,30
78671,2016/6/29,0:7:6,4.0,0.0,0.04,55.22,35.0,33.0,30
78672,2016/6/29,0:7:12,4.0,0.0,0.05,54.39,35.0,33.0,30
78673,2016/6/29,0:7:18,4.0,0.0,0.04,39.45,35.0,33.0,30
78674,2016/6/29,0:7:24,4.0,0.0,0.04,49.41,35.0,33.0,30
78675,2016/6/29,0:7:31,4.0,0.0,0.04,55.22,35.0,33.0,30
78676,2016/6/29,0:7:37,4.0,0.0,0.04,63.53,35.0,33.0,30
78677,2016/6/29,0:7:43,4.0,0.0,0.04,55.22,35.0,33.0,30
78678,2016/6/29,0:7:49,4.0,0.0,0.05,46.09,35.0,33.0,30
78679,2016/6/29,0:7:55,4.0,0.0,0.04,45.26,35.0,33.0,30
78680,2016/6/29,0:8:1,4.0,0.0,0.04,51.9,35.0,33.0,30
78681,2016/6/29,0:8:7,4.0,0.0,0.04,37.79,35.0,33.0,30
78682,2016/6/29,0:8:13,4.0,0.0,0.04,50.24,35.0,33.0,30
78683,2016/6/29,0:8:19,4.0,0.0,0.04,52.73,35.0,33.0,30
78684,2016/6/29,0:8:25,4.0,0.0,0.05,46.92,35.0,33.0,30
78685,2016/6/29,0:8:31,4.0,0.0,0.04,46.92,35.0,33.0,30
78686,2016/6/29,0:8:37,4.0,0.0,0.05,48.58,35.0,33.0,30
78687,2016/6/29,0:8:43,4.0,0.0,0.05,51.07,35.0,33.0,30
78688,2016/6/29,0:8:49,4.0,0.0,0.04,49.41,36.0,32.0,30
78689,2016/6/29,0:8:56,4.0,0.0,0.04,51.9,35.0,33.0,30
78690,2016/6/29,0:9:2,4.0,0.0,0.04,47.75,35.0,33.0,30
78691,2016/6/29,0:9:8,4.0,0.0,0.04,51.07,35.0,33.0,30
78692,2016/6/29,0:9:14,4.0,0.0,0.04,51.9,35.0,33.0,30
78693,2016/6/29,0:9:20,4.0,0.0,0.05,61.87,36.0,32.0,30
78694,2016/6/29,0:9:26,4.0,0.0,0.05,41.94,36.0,32.0,30
78695,2016/6/29,0:9:32,4.0,0.0,0.05,51.07,35.0,33.0,30
78696,2016/6/29,0:9:38,4.0,0.0,0.05,40.28,36.0,32.0,30
78697,2016/6/29,0:9:44,4.0,0.0,0.04,46.09,36.0,32.0,30
78698,2016/6/29,0:9:50,4.0,0.0,0.04,35.3,35.0,33.0,30
78699,2016/6/29,0:9:56,4.0,0.0,0.05,48.58,35.0,33.0,30
78700,2016/6/29,0:10:2,4.0,0.0,0.04,54.39,36.0,32.0,30
78701,2016/6/29,0:10:8,4.0,0.0,0.04,45.26,36.0,32.0,30
78702,2016/6/29,0:10:14,4.0,0.0,0.05,58.54,36.0,32.0,30
78703,2016/6/29,0:10:21,4.0,0.0,0.05,47.75,36.0,32.0,30
78704,2016/6/29,0:10:27,4.0,0.0,0.05,50.24,36.0,32.0,30
78705,2016/6/29,0:10:33,4.0,0.0,0.05,58.54,36.0,32.0,30
78706,2016/6/29,0:10:39,4.0,0.0,0.04,45.26,36.0,32.0,30
78707,2016/6/29,0:10:45,4.0,0.0,0.05,46.92,36.0,32.0,30
78708,2016/6/29,0:10:51,4.0,0.0,0.04,44.43,36.0,32.0,30
78709,2016/6/29,0:10:57,4.0,0.0,0.05,50.24,36.0,32.0,30
78710,2016/6/29,0:11:3,4.0,0.0,0.05,55.22,36.0,32.0,30
78711,2016/6/29,0:11:9,4.0,0.0,0.05,46.92,36.0,32.0,30
