,0,1,2,3,4,5,6,7,8,9,10
25056,2016/6/4,9:55:12,27.0,197.29,37143.00,-90.04,42.0,33.0,91.4,93.61,35
25057,2016/6/4,9:55:18,63.0,0.0,SH,77.64,41.0,33.0,91.4,93.2,35
25058,2016/6/4,9:55:24,47.0,0.0,SH,81.79,41.0,34.0,93.2,96.24,34
25059,2016/6/4,9:55:30,36.0,603.62,SH,68.51,42.0,33.0,91.4,93.61,34
25060,2016/6/4,9:55:37,34.0,443.84,SH,73.49,42.0,34.0,93.2,96.72,33
25061,2016/6/4,9:55:43,31.0,330.87,SH,81.79,42.0,34.0,93.2,96.72,33
25062,2016/6/4,9:55:49,29.0,250.19,SH,76.81,42.0,34.0,93.2,96.72,33
25063,2016/6/4,9:55:55,27.0,179.45,SH,83.45,42.0,34.0,93.2,96.72,33
25064,2016/6/4,9:56:1,25.0,133.77,SH,75.15,42.0,34.0,93.2,96.72,33
25065,2016/6/4,9:56:7,23.0,102.66,SH,75.98,42.0,34.0,93.2,96.72,33
25066,2016/6/4,9:56:13,21.0,72.86,SH,90.92,42.0,34.0,93.2,96.72,33
25067,2016/6/4,9:56:19,19.0,56.83,34.46,70.17,42.0,34.0,93.2,96.72,32
25068,2016/6/4,9:56:25,18.0,42.91,18.21,70.17,42.0,34.0,93.2,96.72,32
25069,2016/6/4,9:56:31,17.0,33.68,13.81,58.54,42.0,34.0,93.2,96.72,32
25070,2016/6/4,9:56:37,16.0,27.68,8.46,78.47,42.0,34.0,93.2,96.72,32
25071,2016/6/4,9:56:43,15.0,23.0,6.80,80.13,42.0,34.0,93.2,96.72,32
25072,2016/6/4,9:56:50,14.0,19.36,5.54,81.79,42.0,34.0,93.2,96.72,32
25073,2016/6/4,9:56:56,13.0,16.55,4.57,75.15,43.0,34.0,93.2,97.22,31
25074,2016/6/4,9:57:2,13.0,14.73,3.81,67.68,42.0,34.0,93.2,96.72,32
25075,2016/6/4,9:57:8,12.0,12.13,3.21,79.3,42.0,34.0,93.2,96.72,32
25076,2016/6/4,9:57:14,11.0,10.42,2.72,79.3,42.0,34.0,93.2,96.72,32
25077,2016/6/4,9:57:20,11.0,0.0,2.33,74.32,43.0,34.0,93.2,97.22,31
25078,2016/6/4,9:57:26,10.0,0.0,2.01,81.79,42.0,34.0,93.2,96.72,31
25079,2016/6/4,9:57:32,10.0,0.0,2.01,74.32,43.0,34.0,93.2,97.22,31
25080,2016/6/4,9:57:38,9.0,0.0,1.75,74.32,43.0,34.0,93.2,97.22,31
25081,2016/6/4,9:57:44,9.0,0.0,1.53,77.64,42.0,34.0,93.2,96.72,31
25082,2016/6/4,9:57:50,9.0,0.0,SH,60.21,42.0,35.0,95.0,100.1,32
25083,2016/6/4,9:57:56,9.0,0.0,SH,76.81,41.0,35.0,95.0,99.54,32
25084,2016/6/4,9:58:3,9.0,0.0,SH,55.22,42.0,35.0,95.0,100.1,31
25085,2016/6/4,9:58:9,9.0,0.0,SH,70.17,42.0,35.0,95.0,100.1,32
25086,2016/6/4,9:58:15,8.0,0.0,SH,83.45,42.0,35.0,95.0,100.1,32
25087,2016/6/4,9:58:21,9.0,0.0,SH,83.45,42.0,35.0,95.0,100.1,31
25088,2016/6/4,9:58:27,8.0,0.0,SH,58.54,42.0,35.0,95.0,100.1,31
25089,2016/6/4,9:58:33,8.0,0.0,SH,77.64,42.0,35.0,95.0,100.1,31
25090,2016/6/4,9:58:39,8.0,0.0,SH,90.92,41.0,35.0,95.0,99.54,31
25091,2016/6/4,9:58:45,8.0,0.0,SH,87.6,41.0,35.0,95.0,99.54,31
25092,2016/6/4,9:58:51,8.0,0.0,0.75,63.53,41.0,35.0,95.0,99.54,31
25093,2016/6/4,9:58:57,7.0,0.0,0.61,68.51,41.0,35.0,95.0,99.54,31
25094,2016/6/4,9:59:3,7.0,0.0,0.61,51.9,41.0,35.0,95.0,99.54,31
25095,2016/6/4,9:59:9,7.0,0.0,0.55,70.17,41.0,35.0,95.0,99.54,31
25096,2016/6/4,9:59:16,8.0,0.0,0.46,72.66,41.0,35.0,95.0,99.54,31
25097,2016/6/4,9:59:22,7.0,0.0,0.55,78.47,41.0,36.0,96.8,103.1,31
25098,2016/6/4,9:59:28,7.0,0.0,0.50,83.45,41.0,36.0,96.8,103.1,31
25099,2016/6/4,9:59:34,7.0,0.0,0.55,71.83,40.0,36.0,96.8,102.46,31
25100,2016/6/4,9:59:40,7.0,0.0,0.46,87.6,40.0,36.0,96.8,102.46,31
25101,2016/6/4,9:59:46,7.0,0.0,0.46,81.79,40.0,36.0,96.8,102.46,31
25102,2016/6/4,9:59:52,7.0,0.0,0.42,80.96,40.0,36.0,96.8,102.46,31
25103,2016/6/4,9:59:58,6.0,0.0,0.33,98.39,40.0,36.0,96.8,102.46,31
25104,2016/6/4,10:0:4,6.0,0.0,0.35,81.79,40.0,36.0,96.8,102.46,31
25105,2016/6/4,10:0:10,6.0,0.0,0.35,73.49,40.0,36.0,96.8,102.46,31
25106,2016/6/4,10:0:16,6.0,0.0,0.35,71.0,40.0,36.0,96.8,102.46,31
25107,2016/6/4,10:0:22,6.0,0.0,SH,61.04,39.0,36.0,96.8,101.84,31
25108,2016/6/4,10:0:29,6.0,0.0,SH,67.68,39.0,36.0,96.8,101.84,31
25109,2016/6/4,10:0:35,6.0,0.0,SH,66.02,39.0,36.0,96.8,101.84,31
25110,2016/6/4,10:0:41,6.0,0.0,SH,66.02,39.0,36.0,96.8,101.84,31
25111,2016/6/4,10:0:47,6.0,0.0,SH,69.34,39.0,36.0,96.8,101.84,31
25112,2016/6/4,10:0:53,6.0,0.0,SH,71.0,39.0,36.0,96.8,101.84,31
25113,2016/6/4,10:0:59,6.0,0.0,SH,51.07,38.0,36.0,96.8,101.24,31
25114,2016/6/4,10:1:5,6.0,0.0,SH,188.87,38.0,36.0,96.8,101.24,31
25115,2016/6/4,10:1:11,7.0,0.0,SH,63.53,37.0,37.0,98.6,104.11,31
25116,2016/6/4,10:1:17,7.0,0.0,SH,76.81,37.0,37.0,98.6,104.11,31
25117,2016/6/4,10:1:23,6.0,0.0,0.28,71.0,37.0,37.0,98.6,104.11,31
25118,2016/6/4,10:1:29,6.0,0.0,0.26,75.15,37.0,37.0,98.6,104.11,31
25119,2016/6/4,10:1:35,6.0,0.0,0.26,136.57,37.0,37.0,98.6,104.11,31
25120,2016/6/4,10:1:42,6.0,0.0,0.26,85.11,37.0,37.0,98.6,104.11,31
25121,2016/6/4,10:1:48,6.0,0.0,0.24,76.81,36.0,37.0,98.6,103.45,31
25122,2016/6/4,10:1:54,6.0,0.0,0.24,76.81,36.0,37.0,98.6,103.45,31
25123,2016/6/4,10:2:0,6.0,0.0,0.28,68.51,36.0,37.0,98.6,103.45,31
25124,2016/6/4,10:2:6,7.0,0.0,0.22,79.3,36.0,37.0,98.6,103.45,31
25125,2016/6/4,10:2:12,6.0,0.0,0.22,71.0,35.0,37.0,98.6,102.82,31
25126,2016/6/4,10:2:18,6.0,0.0,0.21,73.49,35.0,37.0,98.6,102.82,31
25127,2016/6/4,10:2:24,6.0,0.0,0.16,80.96,35.0,37.0,98.6,102.82,31
25128,2016/6/4,10:2:30,6.0,0.0,0.19,66.02,35.0,37.0,98.6,102.82,31
25129,2016/6/4,10:2:36,6.0,0.0,0.19,72.66,35.0,37.0,98.6,102.82,31
25130,2016/6/4,10:2:42,6.0,0.0,0.16,87.6,34.0,37.0,98.6,102.21,31
25131,2016/6/4,10:2:48,6.0,0.0,0.19,66.85,35.0,37.0,98.6,102.82,31
25132,2016/6/4,10:2:55,6.0,0.0,SH,66.02,35.0,37.0,98.6,102.82,31
25133,2016/6/4,10:3:1,7.0,0.0,SH,83.45,34.0,37.0,98.6,102.21,31
25134,2016/6/4,10:3:7,7.0,0.0,SH,89.26,34.0,37.0,98.6,102.21,31
25135,2016/6/4,10:3:13,7.0,0.0,SH,71.0,34.0,38.0,100.4,105.61,31
25136,2016/6/4,10:3:19,7.0,0.0,SH,78.47,34.0,38.0,100.4,105.61,31
