Date,Time,Value
2015/12/30,15:47:49,134
2015/12/30,15:47:51,127
2015/12/30,15:47:53,139
2015/12/30,15:47:55,132
2015/12/30,15:48:2,140
2015/12/30,15:48:7,133
2015/12/30,15:48:9,141
2015/12/30,15:48:11,135
2015/12/30,15:48:13,132
2015/12/30,15:48:16,133
2015/12/30,15:48:20,132
2015/12/30,15:48:29,131
2015/12/30,15:57:35,86
2015/12/30,15:57:37,86
2015/12/30,15:57:39,85
2015/12/30,15:57:44,84
2015/12/30,15:57:46,81
2015/12/30,15:57:48,82
2015/12/30,15:57:50,81
2015/12/30,15:57:52,82
2015/12/30,15:57:55,82
2015/12/30,15:57:57,82
2015/12/30,15:57:59,81
2015/12/30,15:58:1,82
2015/12/30,15:58:4,82
2015/12/30,15:58:6,82
2015/12/30,15:58:8,82
2015/12/30,15:58:10,82
2015/12/30,15:58:13,82
2015/12/30,15:58:15,82
2015/12/30,15:58:17,82
2015/12/30,15:58:19,82
2015/12/30,15:58:22,82
2015/12/30,15:58:24,82
2015/12/30,15:58:26,82
2015/12/30,15:58:31,66
2015/12/30,15:58:33,65
2015/12/30,15:58:35,67
2015/12/30,15:58:37,66
2015/12/30,15:58:39,65
2015/12/30,15:58:42,66
2015/12/30,15:58:44,65
2015/12/30,15:58:46,66
2015/12/30,15:58:48,66
2015/12/30,15:58:51,66
2015/12/30,15:58:53,66
2015/12/30,15:58:55,65
2015/12/30,15:58:57,65
2015/12/30,15:59:0,65
2015/12/30,15:59:2,65
2015/12/30,15:59:4,66
2015/12/30,15:59:6,158
2015/12/30,15:59:11,69
2015/12/30,15:59:13,70
2015/12/30,15:59:15,70
2015/12/30,15:59:17,69
2015/12/30,15:59:20,70
2015/12/30,15:59:22,69
2015/12/30,15:59:24,70
2015/12/30,15:59:26,71
2015/12/30,15:59:29,70
2015/12/30,15:59:31,71
2015/12/30,15:59:33,72
2015/12/30,15:59:35,72
2015/12/30,15:59:38,73
2015/12/30,15:59:40,158
2015/12/30,15:59:42,158
2015/12/30,15:59:44,159
2015/12/30,15:59:47,159
2015/12/30,15:59:51,81
2015/12/30,15:59:53,80
2015/12/30,15:59:56,79
2015/12/30,15:59:58,78
2015/12/30,16:0:0,78
2015/12/30,16:0:2,80
2015/12/30,16:0:5,80
2015/12/30,16:0:7,84
2015/12/30,16:0:9,82
2015/12/30,16:0:11,78
2015/12/30,16:0:14,80
2015/12/30,16:0:16,78
2015/12/30,16:19:40,119
2015/12/30,16:19:42,128
2015/12/30,16:19:45,121
2015/12/30,16:19:47,123
2015/12/30,16:19:49,121
2015/12/30,16:19:51,122
2015/12/30,16:19:54,120
2015/12/30,16:19:56,122
2015/12/30,16:19:58,119
2015/12/30,16:20:0,120
2015/12/30,16:20:3,122
2015/12/30,16:20:5,121
2015/12/30,16:20:7,120
2015/12/30,16:20:9,122
2015/12/30,16:20:12,121
2015/12/30,16:20:14,121
2015/12/30,16:20:16,121
2015/12/30,16:20:18,123
2015/12/30,16:20:21,123
2015/12/30,16:20:23,120
2015/12/30,16:20:25,123
2015/12/30,16:20:27,121
2015/12/30,16:20:29,123
2015/12/30,16:20:32,124
2015/12/30,16:21:19,115
2015/12/30,16:21:21,114
2015/12/30,16:21:23,114
2015/12/30,16:21:26,115
2015/12/30,16:22:13,68
2015/12/30,16:22:15,66
2015/12/30,16:22:17,66
2015/12/30,16:22:20,66
2015/12/30,16:22:22,67
2015/12/30,16:22:24,66
2015/12/30,16:22:26,67
2015/12/30,16:22:28,66
2015/12/30,16:22:31,67
2015/12/30,16:22:33,67
2015/12/30,16:22:35,67
2015/12/30,16:22:37,67
2015/12/30,16:22:40,67
2015/12/30,16:22:42,67
2015/12/30,16:22:44,66
2015/12/30,16:22:46,66
2015/12/30,16:23:18,66
2015/12/30,16:23:20,67
2015/12/30,16:23:22,68
2015/12/30,16:23:24,68
2015/12/30,16:23:27,67
2015/12/30,16:23:29,67
2015/12/30,16:23:31,66
2015/12/30,16:23:36,67
2015/12/30,16:23:38,67
2015/12/30,16:23:40,67
2015/12/30,16:23:42,65
2015/12/30,16:23:45,66
2015/12/30,16:23:47,67
2015/12/30,16:23:49,66
2015/12/30,16:23:51,68
2015/12/30,16:23:54,68
2015/12/30,16:23:56,68
2015/12/30,16:23:58,68
2015/12/30,16:24:0,68
2015/12/30,16:24:2,68
2015/12/30,16:24:5,68
2015/12/30,16:24:7,68
2015/12/30,16:24:9,67
2015/12/30,16:24:11,67
2015/12/30,16:24:14,68
2015/12/30,16:24:16,68
2015/12/30,16:24:18,66
2015/12/30,16:24:20,66
2015/12/30,16:24:23,66
2015/12/30,16:24:25,66
2015/12/30,16:24:27,67
2015/12/30,16:24:29,66
2015/12/30,16:24:32,66
2015/12/30,16:24:34,67
2015/12/30,16:24:36,68
2015/12/30,16:24:38,67
2015/12/30,16:24:40,66
2015/12/30,16:24:43,114
2015/12/30,16:24:45,67
2015/12/30,16:24:47,68
2015/12/30,16:24:52,70
2015/12/30,16:24:54,69
2015/12/30,16:24:58,70
2015/12/30,16:25:1,66
2015/12/30,16:25:3,67
2015/12/30,16:25:5,70
2015/12/30,16:25:7,69
2015/12/30,16:25:10,70
2015/12/30,16:25:12,70
2015/12/30,16:25:14,71
2015/12/30,16:25:16,69
2015/12/30,16:25:19,69
2015/12/30,16:25:21,70
2015/12/30,16:25:25,70
2015/12/30,16:25:28,68
2015/12/30,16:27:18,71
2015/12/30,16:27:20,69
2015/12/30,16:27:22,68
2015/12/30,16:27:24,80
2015/12/30,16:27:27,65
2015/12/30,16:27:29,67
2015/12/30,16:27:31,64
2015/12/30,16:27:33,66
2015/12/30,16:27:35,67
